titles,tokens,entities,mentions,relations_total,relations_normal,relations_typing,isolated_entities,isolated_entities_typing,stage_0,stage_1,stage_2,stage_3,stage_4,stage_5,stage_6,total_runtime,cost
Title: P01-1056 (by g),112,23,30,47,21,26,4,0,6.500879923502604e-06,0.9822094003359477,1.3416975498199464,0.3531450351079305,0.083360581,2.364603281021118,0.000168967,5.125191315015157,
Title: ICCV_2003_151_abs (by g),207,52,66,59,36,23,18,8,4.597504933675131e-06,2.130547241369883,2.611996865272522,0.47532320419947305,0.4692770997683207,10.993416674931844,0.000317395,16.680883077780404,
Title: C90-3063 (by g),120,30,40,31,17,14,13,5,4.5657157897949215e-06,3.563958442211151,9.672166479,1.1166210333506266,0.7565601666768392,13.913952195644379,0.000200919,29.023463801542917,
Title: J05-4003 (by g),138,31,39,34,21,13,11,5,4.700819651285807e-06,3.456458298365275,10.585457003116607,1.191102182865143,0.7487070242563884,12.268669136365254,0.000196584,28.250594929854074,
Title: C00-2123 (by g),100,30,33,20,16,4,12,9,7.4982643127441405e-06,2.5066444873809814,9.560341112,0.9181540290514628,0.6549378315607707,10.878196239471436,0.000163166,24.518444363276164,
Title: E91-1012 (by g),138,31,33,36,20,16,9,5,5.1657358805338544e-06,3.5956095178922016,9.086690318584441,1.1363067189852396,0.805503535,10.941032004356384,0.000200085,25.565347345670066,
Title: J86-3001 (by g),313,64,99,147,57,90,20,6,6.46511713663737e-06,2.0644424597422284,3.3932839830716452,0.8295496662457784,0.7930369774500529,4.9186427672704065,0.001233884,12.000196202596028,
Title: P86-1011 (by g),43,10,14,16,12,4,2,0,3.830591837565104e-06,0.5169125000635783,0.548260772,0.29216388463973997,0.066377834,1.0380995313326518,7.993777592976889e-05,2.4618982911109923,
Title: E95-1033 (by g),50,11,15,9,6,3,4,3,5.002816518147787e-06,0.5343273798624675,0.5334974964459737,0.1588225801785787,0.050568883,0.898638662,7.750193277994792e-05,2.175937506,
Title: W02-1602 (by g),284,64,83,85,49,36,20,7,4.148483276367187e-06,1.9635496973991393,3.160811944802602,0.6302635312080384,0.7332302689552307,4.741415786743164,0.000395815,11.229671192169189,
Title: C04-1106 (by g),138,23,27,27,20,7,0,0,6.647904713948568e-06,1.8622568368911743,0.9338749368985494,0.5192235708236694,0.096128976,2.1541550318400065,0.000138414,5.565784414609273,
Title: ECCV_2016_204_abs (by g),196,36,40,48,26,22,9,2,5.14984130859375e-06,1.6427388866742452,5.259983285268148,0.6256999810536702,0.19258344570795696,15.46550158659617,0.000256014,23.18676834901174,
Title: INTERSPEECH_2006_21_abs (by g),165,40,63,56,27,29,13,1,7.716814676920573e-06,4.082995347181956,14.836598193645477,1.325739316145579,1.6350615620613098,16.045389131704965,0.00026538,37.92605664730072,
Title: NIPS_2015_18_abs (by g),162,33,37,34,28,6,4,4,4.8478444417317706e-06,2.9916805664698285,9.930595910549163,1.0865742961565654,0.7795545379320781,14.709171267350515,0.000212717,29.497794143358867,
Title: CVPR_1994_10_abs (by g),196,38,47,45,33,12,8,5,4.784266153971354e-06,4.319132038,11.464436626434326,1.4496660828590393,0.7871427456537883,13.664601095517476,0.000243147,31.685226519902546,
Title: P83-1004 (by g),76,19,21,18,8,10,8,1,5.7856241861979164e-06,2.4489694396654764,5.859121437867483,0.8686667442321777,0.080856653,7.6721954623858135,0.000114449,16.929929971694946,
Title: C90-3045 (by g),132,21,27,26,14,12,6,3,3.5842259724934896e-06,2.4765061060587565,6.436091804504395,0.8659412662188212,0.24435418049494426,10.385385910669962,0.000161302,20.408444154262543,
Title: CVPR_1993_10_abs (by g),162,50,58,58,28,30,23,4,5.364418029785156e-06,4.251920501391093,16.426923429965974,1.505979021390279,2.8316687822341917,16.814421919981637,0.001918717,41.83283774,
Title: ICML_2016_18_abs (by g),176,33,37,53,26,27,9,3,9.10361607869466e-06,3.986915417512258,10.102987416585286,1.2132321000099182,0.7964662472407024,15.101060930887858,0.00023338,31.2009046,
Title: I05-4010 (by g),113,31,38,28,19,9,13,6,7.987022399902344e-07,1.0607555747032165,1.5011939724286398,0.5744799693425496,0.13588406244913737,2.2600061694780984,0.000676286,5.532996833324432,
Title: ICCV_2013_47_abs (by g),182,46,56,65,40,25,14,7,3.842512766520182e-06,1.8611746867497763,2.1493165493011475,0.5004293521245321,0.2728774348894755,15.300425052642822,0.000328092,20.084555010000866,
Title: H05-1095 (by g),98,23,26,29,18,11,5,4,3.4729639689127604e-06,2.9944429834683737,7.511070096492768,1.0933337728182475,0.21018712123235067,10.598838901519775,0.000162307,22.40803865591685,
Title: A97-1020 (by g),94,26,29,28,18,10,6,2,3.6676724751790363e-06,1.3573689738909402,0.9399235169092814,0.5414435784022014,0.068620892,1.995279594262441,0.000638807,4.903279030323029,
Title: N03-1033 (by g),105,19,22,13,6,7,11,4,3.902117411295573e-06,0.657211693,0.8035016179084777,0.22250217199325562,0.034113932,0.9293866872787475,0.000128055,2.6468480587005616,
Title: ECCV_2016_212_abs (by g),271,55,71,56,41,15,15,7,4.041194915771484e-06,2.0951170285542804,2.3006279667218528,0.7519892613093059,0.34461972713470457,5.247928572,0.000378303,10.740664899349213,
Title: ICASSP_1997_706_abs (by g),168,36,44,36,26,10,11,6,3.166993459065755e-06,1.5311543901761373,1.5351307193438213,0.4587606906890869,0.134873104,2.4482114553451537,0.000237676,6.108371202,
Title: INTERSPEECH_2008_28_abs (by g),180,40,47,46,24,22,14,5,2.9881795247395833e-06,2.2663228233655293,1.6781430006027223,0.40968751112620033,0.36629210313161215,3.1852394541104636,0.000280126,7.905968006451925,
Title: ECCV_2016_110_abs (by g),60,15,16,12,9,3,6,3,3.0040740966796874e-06,0.7248851974805196,0.6624871214230855,0.29209194183349607,0.032140338,1.5374197085698447,0.000109736,3.249137047926585,
Title: CVPR_2008_258_abs (by g),148,29,37,37,20,17,9,3,3.731250762939453e-06,1.3741630117098491,1.210396909713745,0.49364227453867593,0.069446846,2.454349950949351,0.000211052,5.602213776111602,
Title: C08-2010 (by g),109,25,29,31,13,18,9,3,3.0914942423502604e-06,1.2719236771265665,0.8932446678479512,0.35367875496546425,0.06576695,2.1847280184427897,0.000178579,4.769523739814758,
Title: E93-1066 (by g),149,38,47,36,23,13,13,10,3.0159950256347657e-06,1.7771926403045655,5.779649917284647,1.3454320192337037,0.7516867717107137,14.314862267176311,0.000257015,23.96908364693324,
Title: INTERSPEECH_2014_40_abs (by g),130,29,41,53,22,31,8,2,3.111362457275391e-06,3.0173884987831117,10.592615473270417,1.0194308400154113,0.22231792211532592,14.011741117636364,0.000220092,28.86371705532074,
Title: CVPR_2010_30_abs (by g),153,22,34,16,11,5,5,4,2.952416737874349e-06,3.1205597360928854,8.237699576218922,1.0952298204104105,0.2149282654126485,7.808529424667358,0.000164906,20.477114681402842,
Title: CVPR_2004_30_abs (by g),122,39,46,39,18,21,16,6,3.806749979654948e-06,3.971962853272756,12.327772315343221,1.2620449980099997,0.7390039682388305,14.90417112906774,0.000251468,33.20521053870519,
Title: INTERSPEECH_2007_40_abs (by g),109,23,23,28,15,13,6,2,9.377797444661458e-07,2.555701474348704,6.639276361465454,0.9912227869033814,0.063513819,10.179161779085796,0.000157829,20.42903498808543,
Title: CVPR_2003_30_abs (by g),93,22,24,16,13,3,4,4,9.457270304361979e-07,2.7807902415593464,6.674806813398997,0.8962316751480103,0.21993990739186606,13.785232094923655,0.000160829,24.357162507375083,
Title: NIPS_2016_80_abs (by g),95,23,27,36,19,17,5,1,9.457270304361979e-07,2.6869162122408548,7.1564862052599585,0.9691311955451966,0.075393077,11.084035396575928,0.000171391,21.97213442325592,
Mean,134.14,30.37,37.32,35.79,20.4,15.39,9.79,4.15,3.1062761942545576e-06,1.6197618686358133,2.977685282071432,0.5634152059952418,0.2631253890991211,4.766093852043151,0.00023372,10.190318423787751,0.015
STD,134.14,30.37,37.32,35.79,20.4,15.39,9.79,4.15,3.1062761942545576e-06,1.6197618686358133,2.977685282071432,0.5634152059952418,0.2631253890991211,4.766093852043151,0.00023372,10.190318423787751,
